,ID,Strain,Weight,stateord,groupwt,totlen,prem1,posm1,spolen1,Jaw
1,shh_14.5_01_178_C,FVB,178,209_0_1_1_1,209,391.7112299,204.5454545,116.3101604,118.9839572,Lower molar
2,shh_14.5_13_211-216_H,DUHi,213.5,205_1_1_1_1,205,342.4369748,127.3109244,127.3109244,156.7226891,Lower molar
3,shh_14.0_31_237_DG,DUHi,237,220_0_2_1_1,220,352.9411765,78.1512605,119.3277311,176.0504202,Lower molar
4,shh_14.5_14_190_FZ,FVB,190,209_0_1_1_1,209,353.7815126,170.5882353,126.4705882,91.17647059,Lower molar
5,shh_14.5_28_223_DAF,DUHi,223,209_0_1_1_1,209,357.5630252,166.3865546,120.1680672,113.8655462,Lower molar
6,shh_14.5_10_263_I,DUHi,263,331_0_2_2_1,331,363.7883008,98.60724234,208.356546,122.5626741,Lower molar
7,shh_14.5_25_236_DAF,DUHi,236,209_0_1_1_1,209,368.907563,119.7478992,168.0672269,125.210084,Lower molar
8,shh_14.0_11_195_FP,FVB,195,209_0_1_1_1,209,377.3109244,194.5378151,128.1512605,88.65546218,Lower molar
9,shh_14.5_07_193_FL,FVB,193,209_0_1_1_1,209,388.2352941,163.8655462,66.80672269,93.69747899,Lower molar
10,shh_14.5_23_217_DAD,DUHi,217,205_1_1_1_1,205,390.7563025,248.3193277,161.3445378,134.8739496,Lower molar
11,shh_14.5_05_199-207_C,FVB,203,220_0_2_1_1,220,392.8571429,122.6890756,164.2857143,176.4705882,Lower molar
12,shh_15.0_13_196_DT,DUHi,196,209_0_1_1_1,209,397.0588235,178.9915966,149.5798319,136.9747899,Lower molar
13,shh_14.5_17_237-241_DH,DUHi,239,209_0_1_1_1,209,397.8991597,186.5546218,183.1932773,93.27731092,Lower molar
14,shh_14.5_03_255-256_G,DUHi,255.5,331_0_2_2_1,331,400.2579536,105.760963,135.855546,204.2132416,Lower molar
15,shh_14.5_02_193-197_C,FVB,195,209_0_1_1_1,209,401.4209591,182.9484902,166.0746004,106.5719361,Lower molar
16,shh_16.0_04_424_O,DUHi,424,331_0_2_2_1,331,410.0278552,114.2061281,114.7632312,217.8272981,Lower molar
17,shh_14.5_09_238_I,DUHi,238,209_0_1_1_1,209,412.2562674,151.5320334,155.9888579,109.7493036,Lower molar
18,shh_15.0_14_203_DAB,DUHi,203,209_0_1_1_1,209,413.4048257,124.9329759,277.7479893,54.69168901,Lower molar
19,shh_14.5_36_214_FZ,FVB,214,220_0_2_1_1,220,414.2857143,126.4705882,144.9579832,220.5882353,Lower molar
20,shh_14.0_04_220_E,DUHi,220,209_0_1_1_1,209,415.0417827,152.0891365,148.7465181,171.5877437,Lower molar
21,shh_14.5_04_199-207_C,FVB,203,220_0_2_1_1,220,415.1260504,79.41176471,172.6890756,271.4285714,Lower molar
22,shh_15.0_10_242_DK,DUHi,242,220_0_2_1_1,220,418.907563,121.0084034,163.4453782,212.605042,Lower molar
23,shh_15.5_12_355_DV,DUHi,355,331_0_2_2_1,331,422.2689076,117.6470588,139.0756303,214.7058824,Lower molar
