	ID	Strain	Age	Weight	Clutch	shh_R2_spot	shh_M1_spot	shh_M2_spot	cap_transition	M1_spot_split_LR	shboob	Total_state	stateord	Symmetry	groupwt
1	shh_15.0_04_293_D	FVB	15.0	293	FD	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	y	331
2	shh_14.5_15_209-216_DG	DUHi	14.5	212.5	DG	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	Y	211
3	shh_15.0_01_219_K	DUHi	15.0	219	DK	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	y	211
4	shh_15.0_05_245_J	DUHi	15.0	245	DJ	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
5	shh_14.5_07_367_P	DUHi	14.5	367	DP	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
6	shh_15.5_01_359_N	DUHi	15.5	359	DN	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	y	331
7	shh_15.0_15_285_DK	DUHi	15.0	285	DK	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	Y	331
8	shh_15.0_06_285_D	FVB	15.0	285	FD	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
9	shh_14.5_17_237-241_DH	DUHi	14.5	239	DH	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	y	211
10	shh_16.0_08_456_DO	DUHi	16.0	456	DO	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	-	331
11	shh_16.0_06_481_O	DUHi	16.0	481	DO	0	2	0	2	2	1	0_2_2_1	331_0_2_2_1	-	331
12	shh_14.5_30_268_I	DUHi	14.5	268	DI	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
13	shh_13.5_05_86_I	FVB	13.5	86	FI	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	y	97
14	shh_13.5_11_88_FK	FVB	13.5	88	FK	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
15	shh_13.0_01_90_FX	FVB	13.0	90	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
16	shh_13.0_02_100_FX	FVB	13.0	100	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
17	shh_13.5_09_101_FK	FVB	13.5	101	FK	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
18	shh_13.5_10_105_FK	FVB	13.5	105	FK	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
19	shh_15.0_08_259_FD	FVB	15.0	259	FD	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
20	shh_15.0_07_294_K	DUHi	15.0	294	DK	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
21	shh_14.5_15_206_FZ	FVB	14.5	206	FZ	0	2	0	1	0	1	0_2_1_1	235_0_2_1_1	-	235
22	shh_14.5_32_207_FZ	FVB	14.5	207	FZ	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	y	211
23	shh_12.5_01_109-114_C	CD1	12.5	111.5	C	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	y	97
24	shh_15.5_09_457_V	DUHi	15.5	457	DV	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
25	shh_15.0_21_291_FAC	FVB	15.0	291	FAC	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
26	shh_16.0_07_452_DO	DUHi	16.0	452	DO	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
27	shh_13.5_06_109_I	FVB	13.5	109	FI	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	y	97
28	shh_14.5_02_193-197_C	FVB	14.5	195	FC	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	-	211
29	shh_13.0_13_110-119_C	CD1	13.0	114.5	C	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
30	shh_15.0_02_265_K	DUHi	15.0	265	DK	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	y	331
31	shh_14.5_10_263_I	DUHi	14.5	263	DI	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
32	shh_14.5_08_247_I	DUHi	14.5	247	DI	0	2	0	1	0	1	0_2_1_1	235_0_2_1_1	-	235
33	shh_16.0_04_424_O	DUHi	16.0	424	DO	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
34	shh_15.0_03_294_K	DUHi	15.0	294	DK	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	-	331
35	shh_15.5_08_363_V	DUHi	15.5	363	DV	0	2	0	2	1	1	0_2_2_1	331_0_2_2_1	-	331
36	shh_13.0_14_110-119_C	CD1	13.0	114.5	C	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
37	shh_13.0_03_86_FX	FVB	13.0	86	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
38	shh_14.5_09_238_I	DUHi	14.5	238	DI	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	y	211
39	shh_14.0_05_117_R	DUHi	14.0	117	DR	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
40	shh_14.0_04_220_E	DUHi	15.0	220	DE	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	Y	211
41	shh_14.5_12_196-199_H	DUHi	14.5	197.5	DH	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	-	168
42	shh_13.0_05_91_FX	FVB	13.0	91	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	y	97
43	shh_13.5_05_155-158_C	CD1	13.5	156.5	C	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	-	143
44	shh_14.5_34_209_FZ	FVB	14.5	209	FZ	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	-	211
45	shh_13.5_01_131-139_C	CD1	13.5	135	C	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	y	143
46	shh_13.5_03_150-152_C	CD1	13.5	151	C	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	-	143
47	shh_13.0_06_102_FX	FVB	13.0	102	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	y	97
48	shh_13.0_07_108_FX	FVB	13.0	108	FX	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
49	shh_13.5_11_135_DZ	DUHi	13.5	135	DZ	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	-	143
50	shh_15.5_07_290_V	DUHi	15.5	290	DV	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	Y	331
51	shh_14.0_25_122_DAA	DUHi	14.0	122	DAA	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	y	97
52	shh_13.0_04_130-138_C	CD1	13.0	134	C	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	y	120
53	shh_13.5_01_101-104_B	DUHi	13.5	102.5	DB	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	y	97
54	shh_14.0_15_139_DR	DUHi	14.0	139	DR	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	-	143
55	shh_14.5_21_186_DAD	DUHi	14.5	186	DAD	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	Y	168
56	shh_13.5_02_131-139_C	CD1	13.5	135	C	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	y	120
57	shh_14.0_09_140_F	DUHi	14.0	140	DF	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	-	143
58	shh_14.0_07_130_FJ	FVB	14.0	130	FJ	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	Y	143
59	shh_13.0_03_120-127_C	CD1	13.0	123.5	C	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	y	120
60	shh_14.0_20_142_DU	DUHi	14.0	142	DU	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	-	143
61	shh_13.5_07_136_I	FVB	13.5	136	FI	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	-	143
62	shh_14.0_08_141_FJ	FVB	14.0	141	FJ	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	Y	143
63	shh_14.0_13_152_FJ	FVB	14.0	152	FJ	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	y	143
64	shh_13.0_01_202-209_C	CD1	13.0	205.5	C	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	y	168
65	shh_13.5_06_152-159_C	CD1	13.5	155.5	C	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	-	168
66	shh_13.5_16_172-175_C	CD1	13.5	173.5	C	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	-	168
67	shh_14.0_06_171-178_B`	FVB	14.0	174.5	FB	2	0	0	0	0	1	2_0_0_1	143_2_0_0_1	y	143
68	shh_14.5_11_163_FR	FVB	14.5	163	FR	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	y	168
69	shh_13.5_26_195-199_C	CD1	13.5	197.5	C	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	-	168
70	shh_13.5_32_184-186_C	CD1	13.5	185	C	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	Y	168
71	shh_14.5_04_144_E	DUHi	14.5	144	DE	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	-	168
72	shh_14.0_17_161_DR	DUHi	14.0	161	DR	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	Y	168
73	shh_14.0_01_163-167_B	FVB	14.0	165	FB	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	y	168
74	shh_14.5_14_163_DH	DUHi	14.5	163	DH	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	y	168
75	shh_14.5_16_187_P	DUHi	14.5	187	DP	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	-	168
76	shh_13.0_15_120-127_C	CD1	13.0	123.5	C	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	-	120
77	shh_14.0_02_171-178_B	FVB	14.0	174.5	FB	0	0	0	0	0	1	0_0_0_1	168_0_0_0_1	y	168
78	shh_16.5_01_246_W	DUHi	16.5	246	DW	0	2	0	1	0	1	0_2_1_1	235_0_2_1_1	-	235
79	shh_13.5_07_210-214_C	CD1	13.5	212	C	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	Y	168
80	shh_13.5_03_123-130_B	DUHi	13.5	126.5	DB	2	0	0	0	0	0	2_0_0_0	120_2_0_0_0	-	120
81	shh_14.0_05_215-217_C	CD1	14.0	216	C	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	y	168
82	shh_14.0_02_128_D	DUHi	14.0	128	DD	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	Y	168
83	shh_13.5_30_172-175_C	CD1	13.5	173.5	C	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	Y	168
84	shh_13.5_31_172-175_C	CD1	13.5	173.5	C	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	Y	168
85	shh_13.5_02_154-165_B	DUHi	13.5	160	DB	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	-	168
86	shh_14.0_31_237_DG	DUHi	14.0	237	DG	0	2	0	1	0	1	0_2_1_1	235_0_2_1_1	-	235
87	shh_16.5_02_271_W	DUHi	16.5	271	DW	0	2	0	2	0	1	0_2_2_1	331_0_2_2_1	Y	331
88	shh_15.0_04_217-218_J	DUHi	15.0	217.5	DJ	1	1	0	1	0	1	1_1_1_1	216_1_1_1_1	y	216
89	shh_14.5_14_190_FZ	FVB	14.5	190	FZ	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	y	211
90	shh_14.5_28_223_DAF	DUHi	14.5	223	DAF	0	1	0	1	0	1	0_1_1_1	211_0_1_1_1	-	211
91	shh_14.5_14_211-216_H	DUHi	14.5	213.5	DH	1	0	0	0	0	1	1_0_0_1	168_1_0_0_1	-	168
