"","ID","Strain.x","Age","Weight.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","Age.dpc.","Date","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","ident"
"1","shh_15.0_04_293_D","FVB",15,293,"FD",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","y",331,"293FD",15,"7/24/2014","FVB",293,"FD",5,TRUE,15,5.68017260901707,"FD",0,5.64092628042116,15.1540775837732,15.2389565953651,5.66329668772083,15.2024586203806,15.2258391944652,14.8265056410727,15.6236760211187,"001",15.2254408505367,15.1605789201024,270
"2","shh_14.5_15_209-216_DG","DUHi",14.5,212.5,"DG",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","Y",211,"212.5DG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","shh_15.0_01_219_K","DUHi",15,219,"DK",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","y",211,"219DK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","shh_15.0_05_245_J","DUHi",15,245,"DJ",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","-",331,"245DJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","shh_14.5_07_367_P","DUHi",14.5,367,"DP",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","-",331,"367DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","shh_15.5_01_359_N","DUHi",15.5,359,"DN",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","y",331,"359DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","shh_15.0_15_285_DK","DUHi",15,285,"DK",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","Y",331,"285DK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","shh_15.0_06_285_D","FVB",15,285,"FD",0,2,0,2,1,1,"0_2_2_1","331_0_2_2_1","-",331,"285FD",15,"7/24/2014","FVB",285,"FD",5,TRUE,15,5.65248918026865,"FD",0,5.61324285167274,15.0942059434515,15.1790849550434,5.63561325897241,15.1425869800589,15.1659197646251,14.7666206919381,15.562071445991,"001",15.1659952731438,15.1006848319176,268
"9","shh_15.0_06_285_D","FVB",15,285,"FD",0,2,0,2,1,1,"0_2_2_1","331_0_2_2_1","-",331,"285FD",15,"7/24/2014","FVB",285,"FD",5,TRUE,15,5.65248918026865,"FD",0,5.61324285167274,15.0942059434515,15.1790849550434,5.63561325897241,15.1425869800589,15.1659197646251,14.7666206919381,15.562071445991,"001",15.1659952731438,15.1006848319176,269
"10","shh_14.5_17_237-241_DH","DUHi",14.5,239,"DH",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","y",211,"239DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","shh_16.0_08_456_DO","DUHi",16,456,"DO",0,2,0,2,2,1,"0_2_2_1","331_0_2_2_1","-",331,"456DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","shh_16.0_06_481_O","DUHi",16,481,"DO",0,2,0,2,2,1,"0_2_2_1","331_0_2_2_1","-",331,"481DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","shh_14.5_30_268_I","DUHi",14.5,268,"DI",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","-",331,"268DI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","shh_13.5_05_86_I","FVB",13.5,86,"FI",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","y",97,"86FI",13.5,"10/17/2014","FVB",86,"FI",6,TRUE,13.5,4.45434729625351,"FI",-1.5,4.62191738529575,12.9502416858433,12.5878336838944,4.52640243454167,12.7436691247324,12.66244927386,12.1740472788313,13.0972426217504,"001",12.6029688898979,12.9146830625958,372
"15","shh_13.5_11_88_FK","FVB",13.5,88,"FK",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"88FK",13.5,"12/10/2014","FVB",88,"FK",4,TRUE,13.5,4.47733681447821,"FK",-1.5,4.78721332084986,13.3077313194458,12.6375536871074,4.61058371221802,12.9257300690129,12.7657744688901,12.271075656088,13.2025474776131,"001",12.6681316707576,13.2294951543455,19
