	ID	Strain	Age	Weight	Clutch	shh_R2_spot	shh_M1_spot	shh_M2_spot	cap_transition	M1_spot_split_LR	shboob	Total_state	stateord	Symmetry	groupwt
1	shh_13.5_06_152-159_C	CD1	13.5	155.5	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
2	shh_13.5_02_154-165_DB	DUHi	13.5	159.5	DB	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
3	shh_14.0_02_128_DD	DUHi	14.0	128	DD	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
4	shh_14.0_03_141_DD	DUHi	14.0	141	DD	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
5	shh_14.0_07_143_DR	DUHi	14.0	143	DR	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
6	shh_14.0_06_117_DR	DUHi	14.0	117	DR	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
7	shh_14.0_09_140_DF	DUHi	14.0	140	DF	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
8	shh_13.5_10_110_DZ	DUHi	13.5	110	DZ	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
9	shh_13.5_11_135_DZ	DUHi	13.5	135	DZ	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
10	shh_14.0_22_141_DAA	DUHi	14.0	141	DAA	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	Y	123
11	shh_13.5_12_156_DZ	DUHi	13.5	156	DZ	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	Y	123
12	shh_14.0_23_142_DAA	DUHi	14.0	142	DAA	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
13	shh_13.5_01_124_FA	FVB	13.5	124	FA	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
14	shh_13.5_10_105_FK	FVB	13.5	105	FK	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	Y	123
15	shh_14.0_07_130_FJ	FVB	14.0	130	FJ	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
16	shh_13.5_11_88_FK	FVB	13.5	88	FK	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
17	shh_13.5_13_126_FK	FVB	13.5	126	FK	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
18	shh_13.0_04_130-138_C	CD1	13.0	134	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	-	145
19	shh_13.0_05_141-144_C	CD1	13.0	142.5	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	-	145
20	shh_13.0_06_141-144_C	CD1	13.0	142.5	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	-	145
21	shh_13.0_07_134-139_C	CD1	13.0	136.5	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
22	shh_13.0_08_134-139_C	CD1	13.0	136.5	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	-	145
23	shh_13.0_09_134-139_C	CD1	13.0	136.5	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
24	shh_13.0_10_134-139_C	CD1	13.0	136.5	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
25	shh_13.5_01_131-139_C	CD1	13.5	135	C	2	0	0	0	0	1	2_0_0_1	145_2_0_0_1	Y	145
26	shh_14.0_17_161_DR	DUHi	14.0	161	DR	1	0	0	0	0	1	1_0_0_1	179_1_0_0_1	Y	179
27	shh_15.0_06_221_DK	DUHi	15.0	221	DK	1	2	0	2	0	1	1_2_2_1	235_1_2_2_1	-	235
28	shh_14.5_14_163_DH	DUHi	14.5	163	DH	1	0	0	0	0	1	1_0_0_1	179_1_0_0_1	-	179
29	shh_14.0_24_177_DAA	DUHi	14.0	177	DAA	1	0	0	0	0	1	1_0_0_1	179_1_0_0_1	Y	179
30	shh_15.0_10_242_DK	DUHi	15.0	242	DK	0	2	0	1	1	1	0_2_1_1	227_0_2_1_1	-	227
31	shh_14.5_17_237-241_DH	DUHi	14.5	239	DH	0	2	0	1	0	1	0_2_1_1	227_0_2_1_1	Y	227
32	shh_14.5_10_161_FR	FVB	14.5	161	FR	1	0	0	0	0	1	1_0_0_1	179_1_0_0_1	Y	179
33	shh_14.5_02_228_DG	DUHi	14.5	228	DG	1	2	0	2	0	1	1_2_2_1	235_1_2_2_1	-	235
34	shh_16.0_04_404_FE	FVB	16.0	404	FE	0	2	1	2	2	1	0_2_2_1	325_0_2_2_1	-	325
35	shh_13.5_10_202-208_C	CD1	13.5	205	C	1	1	0	1	0	1	1_1_1_1	202_1_1_1_1	-	202
36	shh_15.0_07_234_DK	DUHi	15.0	234	DK	1	2	0	2	0	1	1_2_2_1	235_1_2_2_1	-	235
37	shh_16.5_01_246_DW	DUHi	16.5	246	DW	1	2	0	2	0	1	1_2_2_1	235_1_2_2_1	Y	235
38	shh_14.0_05_215-217_C	CD1	14.0	216	C	1	1	0	1	0	1	1_1_1_1	202_1_1_1_1	-	202
39	shh_13.0_03_120-127_C	CD1	13.0	123.5	C	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
40	shh_13.5_01_101-104_DB	DUHi	13.5	102.5	DB	2	0	0	0	0	0	2_0_0_0	123_2_0_0_0	-	123
41	shh_13.5_24_195-199_C	CD1	13.5	197.5	C	1	0	0	0	0	1	1_0_0_1	179_1_0_0_1	Y	179
