,X,ID,Strain.x,ident,Age,Weight.x,mediantemps,Date.x,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid.x,Age.dpc.,Date.y,Strain.y,Weight.y,Litter,Weekday,indata,age,poids,portee,agerel,poidscor,agecor,agepreditsanscor,poidscor2,agecor2,dev01,dev.inf,dev.sup,sd,dev05,dev15,nid.y
173,173,shh_13.5_05_67_DQ,DUHi,28,13.5,67,13.032,3/20/2014,DQ,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,Y,97,67DQ,13.5,7/30/2014,DUHi,67,DQ,4,TRUE,13.5,4.2046926194,DQ,-1.5,4.3139624707,12.8488557543,12.6448828634,4.2516786554,12.7325912065,12.6946649485,12.2762610704,13.0863898158,1,12.6630594613,12.8297512386,67DQ
174,174,shh_13.5_05_67_DQ,DUHi,28,13.5,67,13.032,03/05/14,DQ,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,Y,97,67DQ,13.5,7/30/2014,DUHi,67,DQ,4,TRUE,13.5,4.2046926194,DQ,-1.5,4.3139624707,12.8488557543,12.6448828634,4.2516786554,12.7325912065,12.6946649485,12.2762610704,13.0863898158,1,12.6630594613,12.8297512386,67DQ
5,5,shh_13.5_07_72_DC,DUHi,28,13.5,72,13.03,7/30/2014,DC,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,72DC,13.5,7/30/2014,DUHi,67,DQ,4,TRUE,13.5,4.2046926194,DQ,-1.5,4.3139624707,12.8488557543,12.6448828634,4.2516786554,12.7325912065,12.6946649485,12.2762610704,13.0863898158,1,12.6630594613,12.8297512386,67DQ
175,175,shh_13.0_03_86_FX,FVB,269,13,86,12.862,7/30/2014,FX,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,y,97,86FX,13,5/12/2015,FVB,86,FX,3,TRUE,13,4.4543472963,FX,-2,4.5296404918,12.7506721516,12.5878336839,4.4867233703,12.657854225,12.6150774903,12.1452840604,13.052605162,1,12.5883069396,12.7399317649,86FX
176,176,shh_13.0_04_87_FX,FVB,270,13,87,12.75,05/12/15,FX,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,87FX,13,5/12/2015,FVB,87,FX,3,TRUE,13,4.4659081187,FX,-2,4.5412013142,12.77567503,12.6128365622,4.4982841927,12.6828571034,12.6403050777,12.1722435293,13.0765377941,1,12.6133019046,12.7648569408,87FX
177,177,shh_13.5_11_88_FK,FVB,286,13.5,88,12.783,05/12/15,FK,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,88FK,13.5,12/10/2014,FVB,88,FK,4,TRUE,13.5,4.4773368145,FK,-1.5,4.7872133208,13.3077313194,12.6375536871,4.6105837122,12.925730069,12.7657744689,12.2710756561,13.2025474776,1,12.6681316708,13.2294951543,88FK
178,178,shh_13.5_07_88_FK,FVB,286,13.5,88,13.267,12/10/14,FK,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,Y,97,88FK,13.5,12/10/2014,FVB,88,FK,4,TRUE,13.5,4.4773368145,FK,-1.5,4.7872133208,13.3077313194,12.6375536871,4.6105837122,12.925730069,12.7657744689,12.2710756561,13.2025474776,1,12.6681316708,13.2294951543,88FK
9,9,shh_13.5_14_89_DC,DUHi,30,13.5,89,13.375,7/30/2014,DC,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,89DC,13.5,7/30/2014,DUHi,91,DQ,4,FALSE,13.5,4.5108595065,DQ,-1.5,4.6201293578,13.4203742867,13.2164013959,4.5578455426,13.3041097389,13.2632892176,12.8781598206,13.6299288539,1,13.2339896294,13.3994387994,91DQ
179,179,shh_13.0_01_90_FX,FVB,271,13,90,12.852,05/12/15,FX,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,y,97,90FX,13,5/12/2015,FVB,90,FX,3,TRUE,13,4.4998096703,FX,-2,4.5751028658,12.8489947595,12.6861562917,4.5321857444,12.7561768329,12.7135177662,12.251368034,13.1460378184,1,12.6868408281,12.8381666052,90FX
180,180,shh_14.0_12_91_DU,DUHi,80,14,91,13.452,10/14/2014,DU,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,Y,97,91DU,14,10/14/2014,DUHi,91,DU,3,TRUE,14,4.5108595065,DU,-1,4.6411071949,13.4595333962,13.2164013959,4.5668660125,13.320948156,13.2789394592,12.8843553084,13.6436998574,1,13.2311819509,13.4313667458,91DU
181,181,shh_13.0_05_91_FX,FVB,272,13,91,12.87,05/12/15,FX,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,91FX,13,5/12/2015,FVB,91,FX,3,TRUE,13,4.5108595065,FX,-2,4.586152702,12.8728925152,12.7100540475,4.5432355806,12.7800745886,12.7374775377,12.27665309,13.1683590026,1,12.7106665695,12.8619537378,91FX
182,182,shh_14.0_18_94_DU,DUHi,81,14,94,13.517,10/14/2014,DU,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,94DU,14,10/14/2014,DUHi,94,DU,3,TRUE,14,4.5432947823,DU,-1,4.6735424706,13.5200799869,13.2769479865,4.5993012883,13.3814947467,13.3386456769,12.9476283041,13.7017960039,1,13.2915302691,13.4915765351,94DU
10,10,shh_13.5_16_95_DC,DUHi,31,13.5,95,13.464,7/30/2014,DC,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,95DC,13.5,7/30/2014,DUHi,101,DQ,4,TRUE,13.5,4.6151205168,DQ,-1.5,4.7243903681,13.6149972264,13.4110243355,4.6621065529,13.4987326786,13.4568794524,13.080220988,13.8164776269,1,13.428421465,13.5931075088,101DQ
183,183,shh_13.5_09_99_DZ,DUHi,37,13.5,99,13.328,11/19/2014,DZ,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,Y,97,99DZ,13.5,11/19/2014,DUHi,99,DZ,4,TRUE,13.5,4.5951198501,DZ,-1.5,4.5597408941,13.3076477717,13.3736892998,4.579906899,13.3452914427,13.3650278613,12.9850041479,13.7286868809,1,13.3740714619,13.3201717997,99DZ
40,40,shh_13.5_06_101_DQ,DUHi,31,13.5,101,13.581,7/30/2014,DQ,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,Y,97,101DQ,13.5,7/30/2014,DUHi,101,DQ,4,TRUE,13.5,4.6151205168,DQ,-1.5,4.7243903681,13.6149972264,13.4110243355,4.6621065529,13.4987326786,13.4568794524,13.080220988,13.8164776269,1,13.428421465,13.5931075088,101DQ
