Symbol;Pathway;
Ahsg;-;BMP
Bambi;-;BMP
Bmp1;+;BMP
Bmp10;+;BMP
Bmp15;+;BMP
Bmp2;+;BMP
Bmp3;+;BMP
Bmp3b;+;BMP
Bmp4;+;BMP
Bmp5;+;BMP
Bmp6;+;BMP
Bmp7;+;BMP
Bmp8a;+;BMP
Bmper;+;BMP
Bmpr1a;+;BMP
Bmpr1b;+;BMP
Bmpr2;+;BMP
Cer1;-;BMP
Chrd;-;BMP
Chrdl1;-;BMP
Cited1;+;BMP
Cited2;+;BMP
Creb1;+;BMP
Crebbp;+;BMP
Ctbp1;-;BMP
Ctbp2;-;BMP
Ctgf;-;BMP
Dand5;-;BMP
Dcp1a;+;BMP
Fst;-;BMP
Fstl1;-;BMP
Fstl3;-;BMP
Gdf1;+;BMP
Gdf11;+;BMP
Gdf15;+;BMP
Gdf2;+;BMP
Gdf3;+;BMP
Gdf5;+;BMP
Gdf6;+;BMP
Gdf7;+;BMP
Gdf8;+;BMP
Gdf9;+;BMP
Grem1;-;BMP
Grem2;-;BMP
Hfe2;+;BMP
Kcp;+;BMP
Maged1;+;BMP
Map3k7;+;BMP
Mapk1;-;BMP
Mapk14;+;BMP
Mapk3;-;BMP
Mecom;-;BMP
Med15;+;BMP
Nbl1;-;BMP
Nodal;+;BMP
Nog;-;BMP
Oaz1;+;BMP
Ppm1a;-;BMP
Ppp1cc;-;BMP
Prkaca;+;BMP
Rgma;+;BMP
Rgmb;+;BMP
Sin3a;-;BMP
Ski;-;BMP
Skil;-;BMP
Smad1;+;BMP
Smad4;+;BMP
Smad5;+;BMP
Smad1;+;BMP
Smad4;+;BMP
Smad5;+;BMP
Smad6;-;BMP
Smad7;-;BMP
Smad8;+;BMP
Smad8;+;BMP
Smurf1;-;BMP
Smurf2;-;BMP
Sost;-;BMP
Sostdc1;-;BMP
Tab1;+;BMP
Tgif1;-;BMP
Tll1;+;BMP
Twsg1;-;BMP
Xiap;+;BMP
Zfyve9;+;BMP
Akt1;+;FGF
Atf2;+;FGF
Cbl;-;FGF
Creb;+;FGF
Crk;+;FGF
Crkl;+;FGF
Cttn;+;FGF
Dag;+;FGF
Elk1;+;FGF
Elk4;+;FGF
Fgf1;+;FGF
Fgf10;+;FGF
Fgf15;+;FGF
Fgf16;+;FGF
Fgf17;+;FGF
Fgf18;+;FGF
Fgf2;+;FGF
Fgf20;+;FGF
Fgf21;+;FGF
Fgf22;+;FGF
Fgf23;+;FGF
Fgf3;+;FGF
Fgf4;+;FGF
Fgf5;+;FGF
Fgf6;+;FGF
Fgf7;+;FGF
Fgf8;+;FGF
Fgf9;+;FGF
Fgfr1;+;FGF
Fgfr2;+;FGF
Fgfr3;+;FGF
Fgfr4;+;FGF
Frs2;+;FGF
Gab1;+;FGF
Grb2;+;FGF
Hras1;+;FGF
Il17rd;-;FGF
Kras;+;FGF
Map2k1;+;FGF
Map2k2;+;FGF
Map2k3;+;FGF
Map2k6;+;FGF
Map3k1;+;FGF
Map3k5;+;FGF
Mapk1;+;FGF
Mapk14;+;FGF
Mapk3;+;FGF
Mapkapk2;+;FGF
Mapk1;+;FGF
Mapk14;+;FGF
Mapk3;+;FGF
Mapkapk2;+;FGF
Mras;+;FGF
Myc;+;FGF
Nras;+;FGF
Pik3r1;+;FGF
Plcg1;+;FGF
Prkca;-;FGF
Ptpn11;+;FGF
Ptpn6;+;FGF
Rac1;+;FGF
Raf1;+;FGF
Rps6ka5;+;FGF
Rps6ka5;+;FGF
Rras2;+;FGF
Sos1;+;FGF
Spred1;-;FGF
Spred2;-;FGF
Spred3;-;FGF
Spry1;-;FGF
Spry2;-;FGF
Spry4;-;FGF
Src;+;FGF
Stat3;+;FGF
Adrbk1;+;HH
Arrb2;-;HH
Boc;+;HH
Btrc;-;HH
Cdon;+;HH
Ck1;-;HH
Creb1;+;HH
Dhh;+;HH
Dyrk1a;+;HH
Fkbp8;-;HH
Gas1;-;HH
Gli1;+;HH
Gli2;+;HH
Gli3;+;HH
Gli1;+;HH
Gli2;+;HH
Gli3;+;HH
Gsk3b;-;HH
Hhip;-;HH
Ift88;-;HH
Ihh;+;HH
Kif3A;+;HH
Lrp2;+;HH
Prkaca;-;HH
Prss30;+;HH
Ptch1;-;HH
Ptch2;-;HH
Rab23;-;HH
Shh;+;HH
Ski;-;HH
Smo;+;HH
Stk36;+;HH
Sufu;-;HH
Ttc21b;-;HH
Tulp3;-;HH
Akt1;-;WNT
Apc;-;WNT
Apc2;-;WNT
Axin1;-;WNT
Axin2;-;WNT
Bcl9;+;WNT
Btrc;-;WNT
C8orf4;+;WNT
Cby;-;WNT
Cer1;-;WNT
Cited1;+;WNT
Cited2;+;WNT
Csnk1a1;-;WNT
Csnk1e;+;WNT
Csnk1g1;+;WNT
Csnk2a1;+;WNT
Ctbp1;-;WNT
Ctbp2;-;WNT
Ctgf;-;WNT
Ctnnb1;+;WNT
Ctnnb1;+;WNT
Dand5;-;WNT
Dkk1;-;WNT
Dkk2;-;WNT
Dkk3;-;WNT
Dkk4;-;WNT
Dvl1;+;WNT
Dvl2;+;WNT
Dvl3;+;WNT
Fam123b;-;WNT
Frat1;+;WNT
Fzd1;+;WNT
Fzd10;+;WNT
Fzd2;+;WNT
Fzd3;+;WNT
Fzd4;+;WNT
Fzd5;+;WNT
Fzd6;+;WNT
Fzd7;+;WNT
Fzd8;+;WNT
Fzd9;+;WNT
Gpr177;+;WNT
Gsk3b;-;WNT
Hdac1;-;WNT
Hdac2;-;WNT
Kremen1;-;WNT
Kremen2;-;WNT
Lef1;+;WNT
Lrp4;-;WNT
Lrp5;+;WNT
Lrp6;+;WNT
Nkd1;-;WNT
Nkd2;-;WNT
Pas5a;+;WNT
Porcn;+;WNT
Ppp2ca;+;WNT
Pygo1;+;WNT
Pygo2;+;WNT
Rspo1;+;WNT
Ryk;+;WNT
Sfrp1;-;WNT
Sfrp2;-;WNT
Sfrp3;-;WNT
Sfrp4;-;WNT
Sfrp5;-;WNT
Smarca4;+;WNT
Sostdc1;-;WNT
Sox17;-;WNT
Sox3;-;WNT
Tcf7;+;WNT
Tcf7l1;+;WNT
Tcf7l2;+;WNT
Tle1;-;WNT
Tle2;-;WNT
Tle3;-;WNT
Tle4;-;WNT
Tnik;+;WNT
Wif1;-;WNT
Wnt1;+;WNT
Wnt10a;+;WNT
Wnt10b;+;WNT
Wnt11;-;WNT
Wnt16;+;WNT
Wnt2;+;WNT
Wnt2b;+;WNT
Wnt3;+;WNT
Wnt3a;+;WNT
Wnt4;+;WNT
Wnt5a;-;WNT
Wnt5b;-;WNT
Wnt6;+;WNT
Wnt7a;+;WNT
Wnt7b;+;WNT
Wnt8a;+;WNT
Wnt8b;+;WNT
Wnt9a;+;WNT
Wnt9b;+;WNT
Acvr1;+;Activin
Acvr1b;+;Activin
Acvr2a;+;Activin
Acvr2b;+;Activin
Bambi;-;Activin
Fst;-;Activin
Fstl1;-;Activin
Fstl3;-;Activin
Inha;+;Activin
Inhba;+;Activin
Inhbb;+;Activin
Lefty1;-;Activin
Smad2;+;Activin
Smad3;+;Activin
Smad4;+;Activin
Smad2;+;Activin
Smad3;+;Activin
