;Low-FVB-youngest;Low-FVB-middle;Low-FVB-oldest;Low-DUHi youngest;Low-DUHi-middle;Low-DUHi-oldest;Up-FVB-youngest;Up-FVB-middle;Up-FVB-oldest;Up-DUHi-youngest;Up-DUHi-middle;Up-DUHi-oldest;baseMean;log2FC;padj;
0610007P14Rik;2076,020136;2268,136247;2031,350266;2231,175963;2084,034837;2152,247884;2111,773102;2077,187258;2085,803218;2111,104377;2168,047106;1945,873273;2111,896139;0,005268414;0,961637232;0,996354873
0610009B22Rik;599,9197132;598,8033725;563,343467;566,6478635;593,0375632;601,4238198;549,7846396;618,5870684;619,9764783;504,007556;573,7677475;494,1396512;573,6199117;-0,092025211;0,377387639;1,065865362
0610009L18Rik;62,29414629;62,57591513;59,6481318;61,32926572;76,83077741;56,1694228;63,53851373;65,90061098;81,17339089;64,14641622;70,85686039;87,82353544;67,69058223;0,08597666;0,778737455;0,942146516
0610009O20Rik;2487,70319;2314,346153;2411,330958;2123,201903;2336,135826;2415,285181;2606,844021;2555,186356;2543,432915;2379,144759;2327,042988;2614,60188;2426,188011;-0,072562362;0,371716443;1,051582736
0610010F05Rik;1285,832433;1307,355273;1343,187561;1245,588749;1158,464066;1293,26671;1299,892093;1131,733159;1312,891366;1213,05455;1284,928676;1142,764076;1251,579893;-0,064825645;0,465487938;1,045958524
0610010K14Rik;1788,925375;1599,055308;1705,494732;1693,033251;1787,516056;1945,380009;1913,215247;1931,327239;1872,87012;1873,991731;1614,153844;2067,556485;1816,043283;0,021465921;0,892198211;0,985231104
0610012G03Rik;1264,842014;965,5945058;1292,376189;1173,893973;1199,280416;1056,259146;1216,939034;1299,560049;1167,014547;1188,999644;928,0520495;1175,565637;1160,6981;-0,101125523;0,475716261;1,072609936
0610030E20Rik;3075,434918;3413,756847;3359,073497;3469,854372;3303,723429;3424,964805;3218,402216;2923,351103;3390,459602;3435,269683;3656,041174;3232,540973;3325,239385;0,083788392;0,246561376;0,94357664
0610037L13Rik;2699,638709;3054,667365;2858,691946;3197,759742;3172,871011;2920,809986;2774,515099;2841,634346;2826,95157;2994,263072;3301,756873;2788,132721;2952,641037;0,108623357;0,111987508;0,927472649
0610040J01Rik;46,72060972;63,53862152;41,97461127;38,87066137;55,22212127;72,60925387;64,42099308;65,90061098;50,58631606;81,328492;73,44918455;66,66123774;60,10689279;0,213009421;0,542862463;0,862735711
